time_us,state,temperature_chip_celsius,deployment_percent,pressure_mb,altitude,altitude_filt,velocity_filt,temperature_alt_celsius,mid_imu_ax,mid_imu_ay,mid_imu_az,mid_imu_gx,mid_imu_gy,mid_imu_gz,mag_x,mag_y,mag_z,high_g_x,high_g_y,high_g_z,drag_force,apogee_prediction,desired_drag_force
78112416,PAD,25.27,0,916.97,834.20,6.61,9.95,28.74,0.54,0.29,1.16,342.32,327.32,323.41,1011,5497,-327,0.34,-0.34,0.88,108.03,10.59,-20231.22
78122419,PAD,24.80,0,917.56,828.90,6.61,9.95,28.74,0.49,0.22,1.13,340.61,326.83,323.66,1011,5497,-327,0.39,-0.29,0.93,108.03,10.59,-20231.22
78132416,PAD,24.80,0,917.16,832.50,6.59,9.96,28.74,0.44,0.15,1.09,339.27,325.98,325.37,1011,5497,-327,0.20,-0.24,0.88,107.90,10.69,-20230.33
78142419,PAD,24.80,0,917.36,830.70,6.59,9.96,28.74,0.41,0.11,1.06,338.05,325.00,328.05,1011,5497,-327,0.34,-0.24,0.63,107.90,10.69,-20230.33
78152416,PAD,24.80,0,917.16,832.50,6.63,10.02,28.74,0.40,0.08,1.03,337.07,324.39,329.88,1011,5497,-327,0.34,-0.24,0.78,107.88,10.68,-20230.77
78162419,PAD,24.80,0,917.36,830.70,6.63,10.02,28.74,0.39,0.07,1.02,336.10,323.41,331.46,1011,5497,-327,0.29,-0.34,0.63,107.88,10.68,-20230.77
78172416,PAD,24.80,0,916.97,834.20,6.67,10.07,28.74,0.39,0.08,1.02,335.12,322.80,331.59,1011,5497,-327,0.24,-0.15,0.68,107.78,10.77,-20229.89
78182419,PAD,25.27,0,917.16,832.50,6.67,10.07,28.74,0.38,0.08,1.01,333.90,322.56,330.73,1011,5497,-327,0.29,-0.29,0.78,107.78,10.77,-20229.89
78192416,PAD,24.80,0,917.13,832.70,6.77,10.18,28.73,0.37,0.09,1.01,332.68,321.83,329.39,1011,5497,-327,0.29,-0.10,0.88,107.69,10.86,-20228.59
78202419,PAD,24.80,0,917.36,830.70,6.77,10.18,28.74,0.36,0.10,1.00,331.59,321.46,327.56,1011,5497,-327,0.34,-0.20,0.54,107.69,10.86,-20228.59
