Device ID,Message #,Time Since Boot,Timestamp,ADXL Accel X,ADXL Accel Y,ADXL Accel Z,ISM Primary Accel X,ISM Primary Accel Y,ISM Primary Accel Z,ISM Primary Gyro X,ISM Primary Gyro Y,ISM Primary Gyro Z,ISM Secondary Accel X,ISM Secondary Accel Y,ISM Secondary Accel Z,ISM Secondary Gyro X,ISM Secondary Gyro Y,ISM Secondary Gyro Z,LSM Accel X,LSM Accel Y,LSM Accel Z,LSM Gyro X,LSM Gyro Y,LSM Gyro Z,Barometer Alt,GPS Alt,GPS Fix,GPS Lat,GPS Lon,GPS Satellites,GPS UTC Day,GPS UTC Hour,GPS UTC ITOW,GPS UTC Min,GPS UTC Month,GPS UTC Nanos,GPS UTC Sec,GPS UTC Time Accuracy,GPS UTC Valid,GPS UTC Year
0,28435,723900,2025-06-11T16:13:07Z,7.688413619995117,-1.4415775537490845,2.883155107498169,-0.2775674247190088,0.1459621802401684,-9.757930672449291,0.315,-0.3325,-0.1925,-0.5838487209606736,-0.2727817794652328,9.878768215107137,0.245,-0.3325,-0.42,-0.1722832291359365,0.21056839116614462,-9.552147926536923,0.175,0.455,-0.945,852.3859252929688,875.005,"2D Fix",31.0444358,-103.53532539999999,28,11,16,317462800.0,10,6,800165894.0,44,22.0,55,2025
0,28459,724510,2025-06-11T16:13:08Z,6.246835708618164,-1.4415775537490845,2.4026291370391846,-0.2811566586593408,0.15314064812083242,-9.763912729016512,0.3325,-0.315,-0.28,-0.5742774304531216,-0.2763710134055648,-6.930074452401563e-227,-1.2647594523203853e+45,-3.528655101032442e-173,-0.6474999999999991,-0.1435693576132804,0.20099710065859255,-9.552147926536923,0.245,0.42,-1.155,852.38330078125,0.0,"Unknown",0.0,0.0,0,11,16,317464000.0,10,6,165906.0,46,22.0,55,2025
0,28496,725450,2025-06-11T16:13:09Z,6.727361679077148,-1.9221034049987793,2.4026291370391846,-0.2835494812862288,0.12323036528473234,-9.762716317703067,0.245,-0.315,0.0525,-0.5838487209606736,-0.23928226268880068,9.87757180379369,0.28,-0.35,-0.63,-0.16271193862838448,0.19142581015104054,-9.552147926536923,0.28,0.42,-1.225,3.329632520675659,0.0,"Unknown",0.0,0.0,0,11,16,317465000.0,10,6,165915.0,47,22.0,55,2025
0,29622,754188,2025-06-11T16:13:10Z,6.246835708618164,-1.4415775537490845,2.883155107498169,-0.2799602473458968,0.1471585915536124,-9.756734261135847,0.2625,-0.35,-0.1925,-0.5814545209083652,-0.2548410092156795,9.881161037734024,0.2625,-0.315,-0.4025,-0.12442677659817634,0.21056839116614462,-9.542576636029372,0.21,0.42,-0.945,852.4044799804688,875.051,"2D Fix",31.044435999999997,-103.535327,28,11,16,317493000.0,11,6,166191.0,15,22.0,55,2025
0,29715,756564,2025-06-11T16:13:11Z,7.207887649536133,-1.4415775537490845,2.883155107498169,-0.2799602473458968,0.1507478254940048,-9.763912729016512,-2.030120730218513e-213,-0.3843774287776067,0.0525,-0.5790630757068976,-0.27038895683834474,9.876375392480247,0.26213518636033656,-0.35,-0.49,-0.1435693576132804,0.20099710065859255,-9.523434055014269,0.21,0.42,-0.945,852.4440307617188,875.1270000000001,"2D Fix",31.0444362,-103.5353269,28,11,16,317495600.0,11,6,600166218.0,17,22.0,55,2025
0,29737,757126,2025-06-11T16:13:12Z,7.688413619995117,-0.9610517024993896,2.4026291370391846,-0.2787638360324528,0.15553347074772042,-9.759127083762737,0.2275,-0.35,-0.0525,-1.5681524216368548e+244,-0.25603202125277363,9.87757180379369,0.28,-0.49288406427833253,-0.525,-0.1722832291359365,0.22013968167369663,-9.542576636029372,0.21,0.42,-0.84,852.4572143554688,0.0,"Unknown",0.0,0.0,0,11,16,317496600.0,11,6,600166229.0,18,22.0,55,2025
0,29791,758504,2025-06-11T16:13:13Z,693136451960832.0,-0.004555993247777224,2.930030107498169,-0.2775674247190088,0.16271193862838448,-9.757930672449291,0.2625,-0.2975,-0.07,-0.5778666643934537,-0.2715853681517888,9.881161037734024,1.9647283462839862e-78,-0.32746261893452366,-0.5424999999999988,-0.15314064812083242,8.642880037653952e-304,-9.561719234640755,0.175,-0.42,-1.172649275120345e-157,852.38330078125,0.0,"Unknown",0.0,0.0,0,11,16,317498000.0,11,6,166243.0,20,22.0,55,2025
0,29903,761353,2025-06-11T16:13:14Z,7.207887649536133,-0.9610517024993896,1.9221034049987793,-0.2811566586593408,0.1363908897326164,-9.761519906389623,0.28,-0.315,-0.035,-0.5802594870203417,-0.2524427871366847,9.87645662247886,0.245,-0.3325,-0.4375,-0.15314064812083242,0.21056839116614462,-9.533005345521818,0.21,0.385,-1.015,852.412353515625,875.242,"2D Fix",31.044436899999997,-103.5353267,28,11,16,317500200.0,11,6,200166266.0,22,22.0,55,2025
0,29913,761610,2025-06-11T16:13:15Z,7.207887649536133,-1.4415775537490845,3.363680839538574,-0.27996024734589703,0.1411765349863924,-9.761519906389623,0.2275,-0.3325,-0.035,-0.5814558983337856,-0.2584248437039047,9.878768215107137,0.2625,-0.35,-0.5775,-0.15314064812083242,0.19142581015104054,-9.552147926536923,0.21,0.42,-0.84,852.412353515625,0.0,"Unknown",0.0,0.0,0,11,16,317501400.0,11,6,400166279.0,23,22.0,55,2025
0,29945,762427,2025-06-11T16:13:16Z,6.727361679077148,-3.363680839538574,1.9221034049987793,-0.2787638360324528,0.15314064812083242,-9.755537849822403,0.245,-0.3325,-0.0875,-0.01466773614116711,-0.26919254552490074,9.87757180379369,0.245,-0.315,-0.49,-0.15314064812083242,0.22971097218124864,-9.561719217044477,0.175,0.42,-0.875,852.4413452148438,875.304,"2D Fix",31.0444371,-103.53532639999999,28,11,16,317501400.0,11,6,400166279.0,23,22.0,55,2025
